timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1700146800,Nov 16 2023 - 3:00pm,complete,N/A,Oman,Taiwan,Sadullo Gulmurodi,2,0.00,3.00,1.50,0.75,3,0,3,2,2,0,"17,41,90'2","",-1,-1,1,0,3,0,0,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,1.40,0.00,0.00,1.75,0,50,50,25,0,25,50,25,25,4.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sultan Qaboos Sport Complex
1700149500,Nov 16 2023 - 3:45pm,complete,N/A,Qatar,Afghanistan,Nasrullo Kabirov,2,0.00,3.00,1.83,1.38,8,1,9,7,6,1,"45'3,11,15,18,26,33,53,90'4","13",10,0,0,0,4,1,0,0,1,4,26,2,17,1,9,1,12,15,72,28,0.00,1.56,0.00,0.00,0.50,0,0,0,0,0,0,0,0,50,6.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1700149500,Nov 16 2023 - 3:45pm,complete,N/A,UAE,Nepal,Hettikankanamge Chrishantha Dilan Perera,2,0.00,2.00,1.75,0.63,4,0,4,4,4,0,"11,36,44,45'1","",-1,-1,0,0,2,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,1.32,0.00,0.00,0.75,25,25,0,0,0,0,25,0,50,4.50,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1700152200,Nov 16 2023 - 4:30pm,complete,N/A,Saudi Arabia,Pakistan,Hanna Hattab,2,0.00,2.00,1.67,0.50,4,0,4,1,1,0,"6,48,90'1,90'6","",-1,-1,1,0,4,0,0,1,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.56,0.00,0.00,0.25,0,0,0,0,0,0,0,0,25,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1700152200,Nov 16 2023 - 4:30pm,complete,N/A,Kuwait,India,Shaun Evans,2,0.00,0.00,0.75,0.83,0,1,1,0,0,0,"","75",-1,-1,2,1,0,0,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Jaber Al-Ahmad International Stadium
1700154000,Nov 16 2023 - 5:00pm,complete,N/A,Syria,North Korea,Alireza Faghani,1,0.00,0.00,1.17,0.75,0,1,1,0,0,0,"","90'2",-1,-1,1,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,New Laos National Stadium
1700157600,Nov 16 2023 - 6:00pm,complete,N/A,Yemen,Bahrain,Hee-Gon Kim,2,2.00,0.00,1.13,1.06,0,2,2,1,0,1,"","38,48",-1,-1,0,0,1,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.43,0.00,0.00,0.00,1.25,25,50,25,0,0,0,50,25,50,2.50,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1700557200,Nov 21 2023 - 9:00am,complete,N/A,Pakistan,Tajikistan,Yusuke Araki,2,1.33,1.00,0.50,1.33,1,6,7,5,1,4,"21","9,13,26,45,66,90'1",-1,-1,1,0,3,0,0,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.56,0.00,0.00,0.00,1.84,50,67,17,17,0,0,17,67,84,3.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1700559000,Nov 21 2023 - 9:30am,complete,N/A,Myanmar,North Korea,Ilgiz Tantashev,2,1.33,3.00,0.63,0.75,1,6,7,3,0,3,"77","30,34,38,54,56,70",-1,-1,2,0,2,0,0,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.87,0.00,0.00,0.00,2.34,17,34,34,34,34,17,34,34,84,3.50,1.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Thuwanna YTC Stadium
1700564400,Nov 21 2023 - 11:00am,complete,N/A,Taiwan,Malaysia,Majed Al Shamrani,2,2.00,3.00,0.75,1.67,0,1,1,0,0,0,"","72",-1,-1,1,0,1,0,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.40,0.00,0.00,0.00,5.17,50,100,100,67,50,84,100,67,84,4.00,3.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Taipei Municipal Stadium
