Partido_ID,Local,Visitante,Goles_Local,Goles_Visitante,Local_GF_Prom,Local_GC_Prom,Visita_GF_Prom,Visita_GC_Prom,Target_Ganador
296,Newcastle,Brentford,2,1,1.6875,1.6875,1.4375,1.0,1
297,Southampton,Crystal Palace,1,1,0.8125,3.0625,2.0,0.5625,0
298,Liverpool,Everton,1,0,1.8125,1.625,1.4375,1.0625,1
299,Chelsea,Tottenham,1,0,1.5625,1.0,1.125,1.5625,1
300,Everton,Arsenal,1,1,1.3125,1.0625,2.0,0.875,0
301,Crystal Palace,Brighton,2,1,1.8125,0.6875,1.625,1.75,1
302,Ipswich Town,Wolves,1,2,1.125,2.5,1.125,1.0625,2
303,West Ham,AFC Bournemouth,2,2,0.6875,1.0625,1.6875,1.6875,0
304,Aston Villa,Nott'm Forest,2,1,2.125,0.8125,2.0625,1.25,1
305,Brentford,Chelsea,0,0,1.1875,1.25,1.1875,0.9375,0
306,Fulham,Liverpool,3,2,1.375,1.3125,1.75,1.4375,1
307,Tottenham,Southampton,3,1,1.0625,1.5,1.0,2.4375,1
308,Man United,Man City,0,0,1.375,1.0625,1.8125,1.1875,0
309,Leicester City,Newcastle,0,3,0.125,2.1875,1.4375,1.5,2
310,Man City,Crystal Palace,5,2,1.6875,0.9375,1.625,0.6875,1
311,Brighton,Leicester City,2,2,1.4375,2.0,0.125,2.5,0
312,Nott'm Forest,Everton,0,1,2.0625,1.5625,1.1875,1.0,2
313,Southampton,Aston Villa,0,3,1.0,2.4375,1.9375,1.3125,2
314,Arsenal,Brentford,1,1,1.9375,0.6875,1.0625,1.0,0
315,Chelsea,Ipswich Town,2,2,0.9375,0.8125,1.3125,2.625,0
316,Liverpool,West Ham,2,1,1.625,1.875,0.875,1.1875,1
317,Wolves,Tottenham,4,2,1.375,0.9375,1.3125,1.3125,1
318,Newcastle,Man United,4,1,1.875,1.1875,1.0625,0.875,1
319,AFC Bournemouth,Fulham,1,0,1.6875,1.6875,1.6875,1.25,1
320,Newcastle,Crystal Palace,5,0,2.3125,1.375,1.75,1.625,1
321,Brentford,Brighton,4,2,1.0,0.9375,1.375,2.0625,1
322,Crystal Palace,AFC Bournemouth,0,0,1.5,2.4375,1.5,1.375,0
323,Everton,Man City,0,2,1.1875,0.875,2.0,1.0625,2
324,West Ham,Southampton,1,1,0.9375,1.3125,0.75,2.5625,0
325,Aston Villa,Newcastle,4,1,2.25,1.375,2.9375,1.0,1
326,Fulham,Chelsea,1,2,1.3125,1.4375,1.125,1.0,2
